colony_id,plate_id,LarvaeID,treatment,Treatments,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,DOD,cencorDOD,DODEF,censorDODEF
first,H1aB+,H1aB+A1,Supplemented,B-Thiacloprid,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+B1,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,12,0
first,H1aB+,H1aB+C1,Supplemented,D-Glyphosate,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+D1,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,8,1
first,H1aB+,H1aB+E1,Supplemented,A-Acetone ,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+F1,Supplemented,Control,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,8,1
first,H1aB+,H1aB+A2,Supplemented,B-Thiacloprid,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,7,1
first,H1aB+,H1aB+B2,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,7,1
first,H1aB+,H1aB+C2,Supplemented,D-Glyphosate,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+D2,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+E2,Supplemented,A-Acetone ,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,7,1
first,H1aB+,H1aB+F2,Supplemented,Control,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+A3,Supplemented,B-Thiacloprid,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+B3,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,12,0
first,H1aB+,H1aB+C3,Supplemented,D-Glyphosate,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+D3,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+E3,Supplemented,A-Acetone ,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+F3,Supplemented,Control,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,7,1
first,H1aB+,H1aB+A4,Supplemented,B-Thiacloprid,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+B4,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+C4,Supplemented,D-Glyphosate,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+D4,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+E4,Supplemented,A-Acetone ,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+F4,Supplemented,Control,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+A5,Supplemented,B-Thiacloprid,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+B5,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,12,0
first,H1aB+,H1aB+C5,Supplemented,D-Glyphosate,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,12,0
first,H1aB+,H1aB+D5,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+E5,Supplemented,A-Acetone ,1,1,1,1,1,1,1,1,1,1,0,0,0,6,0,10,1
first,H1aB+,H1aB+F5,Supplemented,Control,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,8,1
first,H1aB+,H1aB+A6,Supplemented,B-Thiacloprid,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+B6,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+C6,Supplemented,D-Glyphosate,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+D6,Supplemented,E-Azoxystrobin,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+E6,Supplemented,A-Acetone ,1,1,1,1,1,1,1,1,1,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+F6,Supplemented,Control,1,1,1,1,1,1,1,1,0,0,0,0,0,6,0,12,0
first,H1aB+,H1aB+A7,Supplemented,B-Thiacloprid,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,12,0
first,H1aB+,H1aB+B7,Supplemented,C-Lamda-cyhalothrin,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,7,1
